table,family,old_partition_key,new_strategy,new_partition_key,hash_modulus,verdict,n_files_ref,access_evidence,note
salestable,A SalesId,RANGE deliverydate,HASH,salesid,16,REDESIGN,58,salesid: tot=41 param=11 join=29 range=0 files=29,Entered by SALESID/CUSTACCOUNT; deliverydate never filtered. Co-partition w/ salesline for partition-wise SALESID join.
salesline,A SalesId,RANGE shippingdaterequested,HASH,salesid,16,REDESIGN,47,salesid: tot=31 param=4 join=27 range=0 files=25,salesid j27 / itemid j29; date never filtered. Same modulus as salestable.
custconfirmjour,A SalesId,RANGE confirmdate,HASH,salesid,8,REDESIGN,6,salesid: tot=4 param=0 join=4 range=0 files=4,Joined by SALESID+CONFIRMDOCNUM; confirmdate not filtered.
tmssalestable,A SalesId,RANGE modifieddatetime,HASH,salesid,8,REDESIGN,2,salesid: tot=1 param=0 join=1 range=0 files=1,Joined by SALESID+DATAAREAID.
custinvoicejour,B InvoiceId,RANGE invoicedate + LIST dai,HASH,invoiceid,16,REDESIGN*,49,invoiceid: tot=30 param=11 join=18 range=0 files=28,"DUAL pattern: point-lookup INVOICEID/SALESID (30+ files) AND date-range analytics (invoicedate p34/r40, 19 files). HASH(invoiceid)+local btree(invoicedate). Co-partition w/ custinvoicetrans."
custinvoicetrans,B InvoiceId,RANGE invoicedate + LIST dai,HASH,invoiceid,16,REDESIGN,31,invoiceid: tot=22 param=3 join=17 range=0 files=14,invoiceid j17 / salesid j10 / itemid j22; date only as join-equality. Same modulus as custinvoicejour.
custinvoicesaleslink,B InvoiceId,RANGE invoicedate,HASH,salesid,8,REDESIGN,2,origsalesid: tot=2 param=1 join=1 range=0 files=1,"Link table SALESID<->INVOICEID; keyed by (orig)salesid/invoiceid, not date."
inventtransorigin,C InventTransId,HASH recid,HASH,recid,8,KEEP-HASH,8,inventtransid: tot=10 param=0 join=10 range=0 files=6,Entered by INVENTTRANSID (j10); child inventtrans joins by RECID. Keep HASH(recid) so inventtrans co-partitions; add btree(inventtransid) for the entry lookup.
inventtrans,C InventTransId,RANGE datephysical,HASH,inventtransorigin,8,REDESIGN,8,inventtransorigin: tot=16 param=1 join=15 range=0 files=7,Joined ITRANS.INVENTTRANSORIGIN = inventtransorigin.RECID (j15); datephysical never filtered. HASH(inventtransorigin) co-partitions w/ inventtransorigin(recid).
inventtransoriginsalesline,C InventTransId,HASH recid,HASH,recid,8,KEEP-HASH,1,,Joined by FK; keep HASH(recid).
whssalesline,C InventTransId,RANGE modifieddatetime,HASH,inventtransid,8,REDESIGN,7,inventtransid: tot=6 param=0 join=6 range=0 files=6,Joined by INVENTTRANSID (j6)+DATAAREAID; modifieddatetime selected but not filtered.
inventsum,C InventTransId,HASH recid,HASH,recid,16,KEEP-HASH,1,,"Entered by ITEMID+dims, never RECID. HASH(recid) = parallel scan only; consider HASH(itemid)."
markuptrans,D TransRecId,RANGE transdate + LIST dai,HASH,transrecid,16,REDESIGN,26,transrecid: tot=83 param=15 join=68 range=0 files=19,transrecid j68 -> salesline.RECID / custinvoicetrans.RECID; transdate never filtered. HASH(transrecid).
purchline,E PurchId,RANGE deliverydate + LIST dai,HASH,purchid,8,REDESIGN,6,purchid: tot=4 param=3 join=1 range=0 files=4,WHERE PURCHID=@p AND DATAAREAID=@le; deliverydate never filtered.
purchlinehistory,E PurchId,RANGE deliverydate,HASH,purchid,4,REDESIGN,1,,No active consumer; align to purchline family by PURCHID.
vendtrans,F Vendor,RANGE transdate + LIST dai,HASH,accountnum,8,REDESIGN,3,accountnum: tot=2 param=1 join=1 range=0 files=1,WHERE DATAAREAID+ACCOUNTNUM+INVOICE; transdate absent. HASH(accountnum)+btree(invoice).
vendsettlement,F Vendor,RANGE transdate + LIST dai,HASH,accountnum,8,DEFER,1,,"No active consumer (Ventus retired). HASH(accountnum) to match vendtrans, or defer."
vendinvoicejour,F Vendor,RANGE invoicedate + LIST dai,HASH,invoiceaccount,4,DEFER,1,,No active consumer; future vendor Invoice API -> INVOICEACCOUNT/INVOICEID.
vendinvoicetrans,F Vendor,RANGE invoicedate,HASH,invoiceid,4,DEFER,1,,No active consumer.
vendpackingsliptrans,F Vendor,RANGE accountingdate,HASH,recid,4,DEFER,1,,No active consumer.
vendinvoiceinfoline,F Vendor,HASH recid,HASH,recid,4,KEEP-HASH,1,,No active consumer; keep HASH(recid).
